corp_name,stock_code,market,buy_date,buy_price,record_date,sell_date,sell_price,shares,net_pnl,ret_pct,hold_days
칩스앤미디어,94360,KOSDAQ,2023-10-30,17750,2023-11-14,2023-11-10,19750,1126,2205636.95,11.03397871,11
앱튼,270520,KOSDAQ,2023-10-30,2881,2023-11-14,2023-11-10,2735,6942,-1053555.407,-5.267012794,11
코리안리,3690,KOSPI,2023-11-06,6178,2023-11-21,2023-11-17,6569,3237,1221202.759,6.105651812,11
지누스,13890,KOSPI,2023-11-06,15549,2023-11-22,2023-11-20,15682,1286,128712.8465,0.643595981,14
세경하이테크,148150,KOSDAQ,2023-11-15,5022,2023-11-30,2023-11-28,5880,3982,3367898.747,16.8389855,13
유한양행,100,KOSPI,2023-11-24,59243,2024-01-01,2023-12-28,68800,337,3172502.346,15.88802334,34
엔케이젠바이오텍코리아,182400,KOSDAQ,2023-12-06,6390,2023-12-22,2023-12-20,6080,3129,-1010086.571,-5.051112443,14
피씨디렉트,51380,KOSDAQ,2023-12-06,3930,2023-12-21,2023-12-19,4010,5089,364326.599,1.821380737,13
오상자이엘,53980,KOSDAQ,2023-12-07,5295,2024-01-01,2023-12-28,5550,3777,919258.5352,4.59578372,21
소룩스,290690,KOSDAQ,2023-12-07,10001,2023-12-27,2023-12-22,9168,1999,-1703903.122,-8.52164696,15
시노펙스,25320,KOSDAQ,2023-12-08,4138,2023-12-29,2023-12-27,6043,4833,9146913.81,45.73010158,19
펨트론,168360,KOSDAQ,2023-12-08,7575,2024-01-02,2023-12-28,8960,2640,3607274.22,18.0354696,20
하이텍팜,106190,KOSDAQ,2023-12-11,9880,2024-01-01,2023-12-28,9330,2024,-1153023.212,-5.765081594,17
한미약품,128940,KOSPI,2023-12-14,326716,2024-01-01,2023-12-28,352500,61,1527904.674,7.665330446,14
종근당,185750,KOSPI,2023-12-14,115780,2024-01-01,2023-12-28,125045,172,1548652.783,7.775474938,14
JW중외제약,1060,KOSPI,2023-12-15,33053,2024-01-01,2023-12-28,35550,605,1465745.328,7.328702982,13
JW홀딩스,96760,KOSPI,2023-12-15,3285,2024-01-01,2023-12-28,3490,6088,1203608.254,6.0174155,13
JW신약,67290,KOSDAQ,2023-12-15,2122,2024-01-01,2023-12-28,2250,9425,1162047.835,5.80941134,13
티이엠씨,425040,KOSDAQ,2023-12-18,22675,2024-01-03,2023-12-28,25800,882,2708876.677,13.54279218,10
솔루스첨단소재,336370,KOSPI,2023-12-21,11500,2024-01-09,2024-01-05,13500,1739,3429221.05,17.14481958,15
프로브잇,227100,KOSDAQ,2023-12-27,3920,2024-01-15,2024-01-11,3280,5102,-3300912.368,-16.50221854,15
제우스,79370,KOSDAQ,2024-01-02,16833,2024-01-17,2024-01-15,17599,1188,866238.516,4.33106186,13
더블유게임즈,192080,KOSPI,2024-01-03,43019,2024-01-18,2024-01-16,42850,464,-120180.8024,-0.601993315,13
지아이이노베이션,358570,KOSDAQ,2024-01-04,9641,2024-01-22,2024-01-18,10016,2074,734242.9761,3.671502485,14
하이로닉,149980,KOSDAQ,2024-01-24,8917,2024-02-08,2024-02-06,8449,2242,-1089192.97,-5.447350443,13
엑스플러스,373200,KOSDAQ,2024-01-30,1916,2024-02-22,2024-02-20,1057,10438,-8990756.165,-44.94881874,21
풍산홀딩스,5810,KOSPI,2024-02-14,26006,2024-03-05,2024-02-29,29050,769,2294274.28,11.47044586,15
아이패밀리에스씨,114840,KOSDAQ,2024-02-14,17154,2024-02-29,2024-02-27,17579,1165,452192.2452,2.262385663,13
바이오다인,314930,KOSDAQ,2024-02-14,10578,2024-02-29,2024-02-27,12469,1890,3525036.637,17.62922128,13
에이치피오,357230,KOSDAQ,2024-02-21,4678,2024-03-07,2024-03-05,4744,4275,239603.0625,1.197928477,13
프롬바이오,377220,KOSDAQ,2024-02-28,2895,2024-03-14,2024-03-12,2755,6908,-1007231.302,-5.035738594,13
유비벨록스,89850,KOSDAQ,2024-03-19,9215,2024-04-03,2024-04-01,9980,2170,1614820.147,8.074282618,13
스튜디오미르,408900,KOSDAQ,2024-03-21,5622,2024-04-08,2024-04-04,5989,3557,1260878.78,6.304250912,14
딥노이드,315640,KOSDAQ,2024-03-25,8344,2024-04-09,2024-04-05,7667,2396,-1660912.591,-8.306547043,11
SNT에너지,100840,KOSPI,2024-03-29,11088,2024-04-17,2024-04-15,12050,1803,1689121.258,8.447860707,17
유일에너테크,340930,KOSDAQ,2024-04-01,3687,2024-04-17,2024-04-15,3540,5424,-837769.6152,-4.188578385,14
링네트,42500,KOSDAQ,2024-04-01,5282,2024-04-17,2024-04-15,5544,3786,948002.6634,4.739858881,14
아이퀘스트,262840,KOSDAQ,2024-04-04,3171,2024-04-19,2024-04-17,3040,6307,-866604.8206,-4.332483209,13
한싹,430690,KOSDAQ,2024-04-15,8189,2024-04-30,2024-04-26,8889,2442,1664071.84,8.320135543,11
현대바이오랜드,52260,KOSDAQ,2024-05-02,4620,2024-05-20,2024-05-16,6500,4329,8080649.928,40.39723046,14
제일일렉트릭,199820,KOSDAQ,2024-05-07,11704,2024-05-22,2024-05-20,11729,1708,636.8278,0.003185185,13
GST,83450,KOSDAQ,2024-06-11,22526,2024-06-27,2024-06-25,21700,887,-773192.4893,-3.869143059,14
인스웨이브,450520,KOSDAQ,2024-06-12,6273,2024-07-01,2024-06-27,6280,3188,-19723.9966,-0.098613456,15
케이엔에스,432470,KOSDAQ,2024-06-17,19200,2024-07-02,2024-06-28,17750,1041,-1548479.693,-7.746194842,11
에스엘에스바이오,246250,KOSDAQ,2024-06-25,2307,2024-07-15,2024-07-11,2435,8669,1065469.513,5.326712913,16
현대글로비스,86280,KOSPI,2024-06-28,109543,2024-07-15,2024-07-11,126300,182,3001959.606,15.05510145,13
지놈앤컴퍼니,314130,KOSDAQ,2024-07-22,5015,2024-08-07,2024-08-05,4190,3988,-3325683.927,-16.62607538,14
에코앤드림,101360,KOSDAQ,2024-07-23,32188,2024-08-07,2024-08-05,30600,621,-1026201.382,-5.133125272,13
큐리옥스바이오시스템즈,445680,KOSDAQ,2024-07-23,23031,2024-08-07,2024-08-05,18030,868,-4374384.214,-21.87858678,13
SK이터닉스,475150,KOSPI,2024-08-05,11467,2024-08-20,2024-08-16,17460,1744,10389414.26,51.94331123,11
스톰테크,352090,KOSDAQ,2024-08-16,3965,2024-09-02,2024-08-29,3995,5044,109026.06,0.545063259,13
다이나믹디자인,145210,KOSPI,2024-09-11,2549,2024-09-26,2024-09-24,2674,7846,936838.6841,4.68361876,13
삼현,437730,KOSDAQ,2024-10-02,8322,2024-10-18,2024-10-16,8990,2403,1560078.544,7.800094105,14
현대ADM,187660,KOSDAQ,2024-10-14,1660,2024-11-28,2024-11-26,1820,12048,1881921.696,9.408347784,43
네오팜,92730,KOSDAQ,2024-10-15,13134,2024-10-31,2024-10-29,13570,1522,620319.1048,3.102689766,14
동아엘텍,88130,KOSDAQ,2024-10-23,4495,2024-11-07,2024-11-05,4650,4449,646253.9542,3.231067064,13
유비쿼스,264450,KOSDAQ,2024-10-23,9140,2024-11-14,2024-11-12,9040,2188,-260369.812,-1.30176316,20
